Name,Code,Unit,ItemType,VatRate,SdRate
Oil,ITM00130,KG,raw,0,0
Flour,ITM00131,KG,raw,0,0
Sugar,ITM00132,KG,raw,5,0
Wheat,ITM00133,KG,raw,0,0
Wheat,ITM00134,KG,raw,0,0
Sugar,ITM00135,KG,raw,5,0
Oil,ITM00136,KG,raw,5,0
Wheat,ITM00137,KG,raw,5,0
Sugar,ITM00138,KG,raw,0,0
Oil,ITM00139,KG,raw,5,0
Salt,ITM00140,KG,raw,5,0
Oil,ITM00141,KG,raw,5,0
Rice,ITM00142,KG,raw,0,0
Wheat,ITM00143,KG,raw,5,0
Rice,ITM00144,KG,raw,5,0
Rice,ITM00145,KG,raw,5,0
Rice,ITM00146,KG,raw,5,0
Sugar,ITM00147,KG,raw,5,0
Wheat,ITM00148,KG,raw,5,0
Rice,ITM00149,KG,raw,0,0
Rice,ITM00150,KG,raw,5,0
Rice,ITM00151,KG,raw,5,0
Oil,ITM00152,KG,raw,0,0
Wheat,ITM00153,KG,raw,0,0
Oil,ITM00154,KG,raw,5,0
Flour,ITM00155,KG,raw,0,0
Salt,ITM00156,KG,raw,0,0
Sugar,ITM00157,KG,raw,5,0
Flour,ITM00158,KG,raw,0,0
Wheat,ITM00159,KG,raw,5,0
Flour,ITM00160,KG,raw,0,0
Flour,ITM00161,KG,raw,0,0
Rice,ITM00162,KG,raw,5,0
Oil,ITM00163,KG,raw,0,0
Salt,ITM00164,KG,raw,5,0
Rice,ITM00165,KG,raw,5,0
Rice,ITM00166,KG,raw,0,0
Salt,ITM00167,KG,raw,0,0
Wheat,ITM00168,KG,raw,5,0
Flour,ITM00169,KG,raw,5,0
Flour,ITM00170,KG,raw,5,0
Flour,ITM00171,KG,raw,5,0
Sugar,ITM00172,KG,raw,5,0
Flour,ITM00173,KG,raw,5,0
Wheat,ITM00174,KG,raw,5,0
Rice,ITM00175,KG,raw,0,0
Oil,ITM00176,KG,raw,0,0
Rice,ITM00177,KG,raw,5,0
Oil,ITM00178,KG,raw,5,0
Wheat,ITM00179,KG,raw,5,0
Wheat,ITM00180,KG,raw,5,0
Wheat,ITM00181,KG,raw,0,0
Flour,ITM00182,KG,raw,0,0
Oil,ITM00183,KG,raw,0,0
Salt,ITM00184,KG,raw,0,0
Rice,ITM00185,KG,raw,0,0
Salt,ITM00186,KG,raw,0,0
Wheat,ITM00187,KG,raw,5,0
Sugar,ITM00188,KG,raw,0,0
Oil,ITM00189,KG,raw,5,0
Sugar,ITM00190,KG,raw,5,0
Rice,ITM00191,KG,raw,5,0
Flour,ITM00192,KG,raw,0,0
Rice,ITM00193,KG,raw,0,0
Sugar,ITM00194,KG,raw,5,0
Sugar,ITM00195,KG,raw,0,0
Rice,ITM00196,KG,raw,5,0
Sugar,ITM00197,KG,raw,5,0
Salt,ITM00198,KG,raw,0,0
Sugar,ITM00199,KG,raw,5,0
Flour,ITM00200,KG,raw,5,0
Oil,ITM00201,KG,raw,0,0
Wheat,ITM00202,KG,raw,5,0
Flour,ITM00203,KG,raw,0,0
Sugar,ITM00204,KG,raw,5,0
Flour,ITM00205,KG,raw,5,0
Rice,ITM00206,KG,raw,0,0
Flour,ITM00207,KG,raw,0,0
Sugar,ITM00208,KG,raw,5,0
Wheat,ITM00209,KG,raw,5,0
Rice,ITM00210,KG,raw,0,0
Salt,ITM00211,KG,raw,0,0
Wheat,ITM00212,KG,raw,0,0
Rice,ITM00213,KG,raw,0,0
Wheat,ITM00214,KG,raw,5,0
Rice,ITM00215,KG,raw,0,0
Wheat,ITM00216,KG,raw,5,0
Flour,ITM00217,KG,raw,0,0
Rice,ITM00218,KG,raw,0,0
Oil,ITM00219,KG,raw,5,0
Wheat,ITM00220,KG,raw,0,0
Sugar,ITM00221,KG,raw,0,0
Rice,ITM00222,KG,raw,0,0
Rice,ITM00223,KG,raw,5,0
Salt,ITM00224,KG,raw,5,0
Sugar,ITM00225,KG,raw,5,0
Salt,ITM00226,KG,raw,0,0
Wheat,ITM00227,KG,raw,0,0
Sugar,ITM00228,KG,raw,5,0
Wheat,ITM00229,KG,raw,0,0
Sugar,ITM00230,KG,raw,0,0
Sugar,ITM00231,KG,raw,0,0
Salt,ITM00232,KG,raw,5,0
Oil,ITM00233,KG,raw,0,0
Flour,ITM00234,KG,raw,0,0
Salt,ITM00235,KG,raw,0,0
Rice,ITM00236,KG,raw,0,0
Oil,ITM00237,KG,raw,5,0
Sugar,ITM00238,KG,raw,5,0
Rice,ITM00239,KG,raw,0,0
Oil,ITM00240,KG,raw,0,0
Salt,ITM00241,KG,raw,0,0
Rice,ITM00242,KG,raw,5,0
Wheat,ITM00243,KG,raw,0,0
Oil,ITM00244,KG,raw,5,0
Sugar,ITM00245,KG,raw,5,0
Sugar,ITM00246,KG,raw,0,0
Rice,ITM00247,KG,raw,5,0
Sugar,ITM00248,KG,raw,0,0
Salt,ITM00249,KG,raw,5,0
Wheat,ITM00250,KG,raw,0,0
Salt,ITM00251,KG,raw,5,0
Flour,ITM00252,KG,raw,5,0
Oil,ITM00253,KG,raw,5,0
Salt,ITM00254,KG,raw,0,0
Rice,ITM00255,KG,raw,0,0
Wheat,ITM00256,KG,raw,0,0
Oil,ITM00257,KG,raw,0,0
Oil,ITM00258,KG,raw,0,0
Rice,ITM00259,KG,raw,0,0
Oil,ITM00260,KG,raw,0,0
Salt,ITM00261,KG,raw,5,0
Oil,ITM00262,KG,raw,0,0
Sugar,ITM00263,KG,raw,5,0
Sugar,ITM00264,KG,raw,0,0
Salt,ITM00265,KG,raw,0,0
Rice,ITM00266,KG,raw,5,0
Rice,ITM00267,KG,raw,5,0
Wheat,ITM00268,KG,raw,5,0
Salt,ITM00269,KG,raw,5,0
Rice,ITM00270,KG,raw,5,0
Sugar,ITM00271,KG,raw,5,0
Oil,ITM00272,KG,raw,0,0
Oil,ITM00273,KG,raw,0,0
Sugar,ITM00274,KG,raw,5,0
Salt,ITM00275,KG,raw,5,0
Flour,ITM00276,KG,raw,5,0
Wheat,ITM00277,KG,raw,0,0
Rice,ITM00278,KG,raw,5,0
Rice,ITM00279,KG,raw,0,0
Sugar,ITM00280,KG,raw,5,0
Wheat,ITM00281,KG,raw,5,0
Salt,ITM00282,KG,raw,5,0
Oil,ITM00283,KG,raw,5,0
Salt,ITM00284,KG,raw,0,0
Sugar,ITM00285,KG,raw,5,0
Rice,ITM00286,KG,raw,5,0
Wheat,ITM00287,KG,raw,5,0
Salt,ITM00288,KG,raw,0,0
Flour,ITM00289,KG,raw,5,0
Wheat,ITM00290,KG,raw,0,0
Rice,ITM00291,KG,raw,0,0
Sugar,ITM00292,KG,raw,5,0
Flour,ITM00293,KG,raw,5,0
Flour,ITM00294,KG,raw,5,0
Oil,ITM00295,KG,raw,0,0
Salt,ITM00296,KG,raw,5,0
Sugar,ITM00297,KG,raw,0,0
Salt,ITM00298,KG,raw,0,0
Salt,ITM00299,KG,raw,5,0
Flour,ITM00300,KG,raw,0,0
Oil,ITM00301,KG,raw,5,0
Rice,ITM00302,KG,raw,0,0
Rice,ITM00303,KG,raw,0,0
Wheat,ITM00304,KG,raw,5,0
Oil,ITM00305,KG,raw,0,0
Sugar,ITM00306,KG,raw,5,0
Wheat,ITM00307,KG,raw,5,0
Sugar,ITM00308,KG,raw,5,0
Sugar,ITM00309,KG,raw,5,0
Salt,ITM00310,KG,raw,5,0
Rice,ITM00311,KG,raw,0,0
Oil,ITM00312,KG,raw,5,0
Flour,ITM00313,KG,raw,5,0
Oil,ITM00314,KG,raw,0,0
Rice,ITM00315,KG,raw,5,0
Salt,ITM00316,KG,raw,5,0
Rice,ITM00317,KG,raw,0,0
Wheat,ITM00318,KG,raw,5,0
Sugar,ITM00319,KG,raw,0,0
Wheat,ITM00320,KG,raw,5,0
Oil,ITM00321,KG,raw,5,0
Flour,ITM00322,KG,raw,5,0
Wheat,ITM00323,KG,raw,0,0
Salt,ITM00324,KG,raw,5,0
Wheat,ITM00325,KG,raw,0,0
Sugar,ITM00326,KG,raw,5,0
Sugar,ITM00327,KG,raw,0,0
Wheat,ITM00328,KG,raw,0,0
Sugar,ITM00329,KG,raw,5,0
Salt,ITM00330,KG,raw,5,0
Rice,ITM00331,KG,raw,0,0
Oil,ITM00332,KG,raw,0,0
Oil,ITM00333,KG,raw,5,0
Rice,ITM00334,KG,raw,0,0
Rice,ITM00335,KG,raw,0,0
Sugar,ITM00336,KG,raw,5,0
Salt,ITM00337,KG,raw,5,0
Flour,ITM00338,KG,raw,0,0
Oil,ITM00339,KG,raw,5,0
Salt,ITM00340,KG,raw,5,0
Oil,ITM00341,KG,raw,0,0
Wheat,ITM00342,KG,raw,0,0
Oil,ITM00343,KG,raw,0,0
Wheat,ITM00344,KG,raw,5,0
Flour,ITM00345,KG,raw,0,0
Flour,ITM00346,KG,raw,5,0
Salt,ITM00347,KG,raw,5,0
Sugar,ITM00348,KG,raw,0,0
Flour,ITM00349,KG,raw,5,0
Sugar,ITM00350,KG,raw,0,0
Flour,ITM00351,KG,raw,0,0
Wheat,ITM00352,KG,raw,0,0
Sugar,ITM00353,KG,raw,0,0
Wheat,ITM00354,KG,raw,5,0
Wheat,ITM00355,KG,raw,0,0
Rice,ITM00356,KG,raw,0,0
Flour,ITM00357,KG,raw,5,0
Rice,ITM00358,KG,raw,5,0
Oil,ITM00359,KG,raw,5,0
Flour,ITM00360,KG,raw,5,0
Flour,ITM00361,KG,raw,5,0
Rice,ITM00362,KG,raw,0,0
Wheat,ITM00363,KG,raw,5,0
Salt,ITM00364,KG,raw,5,0
Sugar,ITM00365,KG,raw,5,0
Rice,ITM00366,KG,raw,0,0
Rice,ITM00367,KG,raw,0,0
Rice,ITM00368,KG,raw,0,0
Salt,ITM00369,KG,raw,0,0
Salt,ITM00370,KG,raw,5,0
Oil,ITM00371,KG,raw,5,0
Salt,ITM00372,KG,raw,5,0
Oil,ITM00373,KG,raw,5,0
Wheat,ITM00374,KG,raw,5,0
Rice,ITM00375,KG,raw,0,0
Flour,ITM00376,KG,raw,0,0
Salt,ITM00377,KG,raw,5,0
Flour,ITM00378,KG,raw,5,0
Sugar,ITM00379,KG,raw,0,0
Wheat,ITM00380,KG,raw,0,0
Sugar,ITM00381,KG,raw,5,0
Wheat,ITM00382,KG,raw,0,0
Oil,ITM00383,KG,raw,0,0
Oil,ITM00384,KG,raw,0,0
Salt,ITM00385,KG,raw,0,0
Wheat,ITM00386,KG,raw,0,0
Salt,ITM00387,KG,raw,5,0
Salt,ITM00388,KG,raw,5,0
Salt,ITM00389,KG,raw,0,0
Salt,ITM00390,KG,raw,5,0
Rice,ITM00391,KG,raw,5,0
Flour,ITM00392,KG,raw,0,0
Wheat,ITM00393,KG,raw,5,0
Sugar,ITM00394,KG,raw,5,0
Rice,ITM00395,KG,raw,0,0
Flour,ITM00396,KG,raw,0,0
Sugar,ITM00397,KG,raw,0,0
Salt,ITM00398,KG,raw,5,0
Flour,ITM00399,KG,raw,5,0
Rice,ITM00400,KG,raw,5,0
Wheat,ITM00401,KG,raw,0,0
Salt,ITM00402,KG,raw,0,0
Sugar,ITM00403,KG,raw,0,0
Oil,ITM00404,KG,raw,5,0
Flour,ITM00405,KG,raw,5,0
Sugar,ITM00406,KG,raw,5,0
Flour,ITM00407,KG,raw,5,0
Rice,ITM00408,KG,raw,5,0
Salt,ITM00409,KG,raw,0,0
Sugar,ITM00410,KG,raw,0,0
Wheat,ITM00411,KG,raw,0,0
Oil,ITM00412,KG,raw,5,0
Oil,ITM00413,KG,raw,0,0
Sugar,ITM00414,KG,raw,5,0
Wheat,ITM00415,KG,raw,5,0
Rice,ITM00416,KG,raw,0,0
Salt,ITM00417,KG,raw,5,0
Rice,ITM00418,KG,raw,0,0
Oil,ITM00419,KG,raw,5,0
Flour,ITM00420,KG,raw,0,0
Wheat,ITM00421,KG,raw,0,0
Wheat,ITM00422,KG,raw,0,0
Sugar,ITM00423,KG,raw,5,0
Wheat,ITM00424,KG,raw,0,0
Salt,ITM00425,KG,raw,0,0
Flour,ITM00426,KG,raw,5,0
Rice,ITM00427,KG,raw,0,0
Sugar,ITM00428,KG,raw,0,0
Rice,ITM00429,KG,raw,5,0
Wheat,ITM00430,KG,raw,5,0
Salt,ITM00431,KG,raw,5,0
Sugar,ITM00432,KG,raw,0,0
Oil,ITM00433,KG,raw,0,0
Flour,ITM00434,KG,raw,5,0
Oil,ITM00435,KG,raw,5,0
Sugar,ITM00436,KG,raw,0,0
Sugar,ITM00437,KG,raw,0,0
Flour,ITM00438,KG,raw,0,0
Flour,ITM00439,KG,raw,0,0
Flour,ITM00440,KG,raw,5,0
Salt,ITM00441,KG,raw,5,0
Wheat,ITM00442,KG,raw,0,0
Salt,ITM00443,KG,raw,0,0
Salt,ITM00444,KG,raw,0,0
Oil,ITM00445,KG,raw,0,0
Oil,ITM00446,KG,raw,0,0
Rice,ITM00447,KG,raw,0,0
Rice,ITM00448,KG,raw,5,0
Flour,ITM00449,KG,raw,0,0
Sugar,ITM00450,KG,raw,5,0
Wheat,ITM00451,KG,raw,0,0
Wheat,ITM00452,KG,raw,0,0
Rice,ITM00453,KG,raw,0,0
Rice,ITM00454,KG,raw,5,0
Rice,ITM00455,KG,raw,0,0
Sugar,ITM00456,KG,raw,5,0
Salt,ITM00457,KG,raw,0,0
Salt,ITM00458,KG,raw,5,0
Rice,ITM00459,KG,raw,0,0
Wheat,ITM00460,KG,raw,0,0
Oil,ITM00461,KG,raw,0,0
Sugar,ITM00462,KG,raw,0,0
Sugar,ITM00463,KG,raw,0,0
Sugar,ITM00464,KG,raw,5,0
Wheat,ITM00465,KG,raw,0,0
Sugar,ITM00466,KG,raw,0,0
Oil,ITM00467,KG,raw,0,0
Sugar,ITM00468,KG,raw,5,0
Sugar,ITM00469,KG,raw,0,0
Oil,ITM00470,KG,raw,0,0
Rice,ITM00471,KG,raw,0,0
Wheat,ITM00472,KG,raw,5,0
Oil,ITM00473,KG,raw,0,0
Oil,ITM00474,KG,raw,5,0
Oil,ITM00475,KG,raw,5,0
Wheat,ITM00476,KG,raw,0,0
Oil,ITM00477,KG,raw,5,0
Flour,ITM00478,KG,raw,5,0
Sugar,ITM00479,KG,raw,5,0
Flour,ITM00480,KG,raw,0,0
Salt,ITM00481,KG,raw,0,0
Sugar,ITM00482,KG,raw,5,0
Wheat,ITM00483,KG,raw,5,0
Rice,ITM00484,KG,raw,5,0
Oil,ITM00485,KG,raw,5,0
Sugar,ITM00486,KG,raw,0,0
Oil,ITM00487,KG,raw,0,0
Sugar,ITM00488,KG,raw,0,0
Oil,ITM00489,KG,raw,5,0
Rice,ITM00490,KG,raw,0,0
Salt,ITM00491,KG,raw,5,0
Sugar,ITM00492,KG,raw,5,0
Oil,ITM00493,KG,raw,0,0
Oil,ITM00494,KG,raw,5,0
Oil,ITM00495,KG,raw,5,0
Rice,ITM00496,KG,raw,0,0
Rice,ITM00497,KG,raw,0,0
Wheat,ITM00498,KG,raw,5,0
Salt,ITM00499,KG,raw,0,0
Flour,ITM00500,KG,raw,5,0
Oil,ITM00501,KG,raw,0,0
Rice,ITM00502,KG,raw,5,0
Sugar,ITM00503,KG,raw,0,0
Salt,ITM00504,KG,raw,5,0
Oil,ITM00505,KG,raw,0,0
Wheat,ITM00506,KG,raw,5,0
Rice,ITM00507,KG,raw,0,0
Flour,ITM00508,KG,raw,0,0
Oil,ITM00509,KG,raw,5,0
Oil,ITM00510,KG,raw,5,0
Rice,ITM00511,KG,raw,5,0
Wheat,ITM00512,KG,raw,5,0
Flour,ITM00513,KG,raw,5,0
Salt,ITM00514,KG,raw,0,0
Oil,ITM00515,KG,raw,5,0
Flour,ITM00516,KG,raw,0,0
Sugar,ITM00517,KG,raw,5,0
Salt,ITM00518,KG,raw,5,0
Flour,ITM00519,KG,raw,0,0
Flour,ITM00520,KG,raw,5,0
Sugar,ITM00521,KG,raw,0,0
Salt,ITM00522,KG,raw,0,0
Wheat,ITM00523,KG,raw,0,0
Sugar,ITM00524,KG,raw,0,0
Rice,ITM00525,KG,raw,0,0
Salt,ITM00526,KG,raw,5,0
Salt,ITM00527,KG,raw,5,0
Wheat,ITM00528,KG,raw,5,0
Rice,ITM00529,KG,raw,5,0
Oil,ITM00530,KG,raw,5,0
Flour,ITM00531,KG,raw,5,0
Rice,ITM00532,KG,raw,5,0
Sugar,ITM00533,KG,raw,5,0
Oil,ITM00534,KG,raw,5,0
Oil,ITM00535,KG,raw,0,0
Wheat,ITM00536,KG,raw,0,0
Rice,ITM00537,KG,raw,5,0
Wheat,ITM00538,KG,raw,0,0
Sugar,ITM00539,KG,raw,0,0
Wheat,ITM00540,KG,raw,0,0
Salt,ITM00541,KG,raw,0,0
Wheat,ITM00542,KG,raw,0,0
Flour,ITM00543,KG,raw,0,0
Wheat,ITM00544,KG,raw,5,0
Flour,ITM00545,KG,raw,0,0
Salt,ITM00546,KG,raw,5,0
Wheat,ITM00547,KG,raw,0,0
Sugar,ITM00548,KG,raw,0,0
Flour,ITM00549,KG,raw,0,0
Oil,ITM00550,KG,raw,5,0
Flour,ITM00551,KG,raw,0,0
Wheat,ITM00552,KG,raw,5,0
Oil,ITM00553,KG,raw,5,0
Oil,ITM00554,KG,raw,5,0
Sugar,ITM00555,KG,raw,0,0
Sugar,ITM00556,KG,raw,0,0
Wheat,ITM00557,KG,raw,0,0
Oil,ITM00558,KG,raw,0,0
Oil,ITM00559,KG,raw,0,0
Oil,ITM00560,KG,raw,0,0
Sugar,ITM00561,KG,raw,0,0
Sugar,ITM00562,KG,raw,0,0
Sugar,ITM00563,KG,raw,0,0
Oil,ITM00564,KG,raw,5,0
Oil,ITM00565,KG,raw,0,0
Oil,ITM00566,KG,raw,5,0
Rice,ITM00567,KG,raw,0,0
Wheat,ITM00568,KG,raw,5,0
Sugar,ITM00569,KG,raw,0,0
Salt,ITM00570,KG,raw,5,0
Sugar,ITM00571,KG,raw,0,0
Flour,ITM00572,KG,raw,5,0
Sugar,ITM00573,KG,raw,5,0
Flour,ITM00574,KG,raw,5,0
Flour,ITM00575,KG,raw,5,0
Sugar,ITM00576,KG,raw,0,0
Rice,ITM00577,KG,raw,5,0
Salt,ITM00578,KG,raw,5,0
Flour,ITM00579,KG,raw,5,0
Sugar,ITM00580,KG,raw,5,0
Sugar,ITM00581,KG,raw,0,0
Rice,ITM00582,KG,raw,0,0
Sugar,ITM00583,KG,raw,0,0
Rice,ITM00584,KG,raw,5,0
Sugar,ITM00585,KG,raw,0,0
Sugar,ITM00586,KG,raw,0,0
Flour,ITM00587,KG,raw,0,0
Sugar,ITM00588,KG,raw,0,0
Oil,ITM00589,KG,raw,0,0
Salt,ITM00590,KG,raw,5,0
Rice,ITM00591,KG,raw,5,0
Oil,ITM00592,KG,raw,5,0
Salt,ITM00593,KG,raw,5,0
Wheat,ITM00594,KG,raw,0,0
Rice,ITM00595,KG,raw,0,0
Oil,ITM00596,KG,raw,0,0
Salt,ITM00597,KG,raw,0,0
Sugar,ITM00598,KG,raw,0,0
Wheat,ITM00599,KG,raw,0,0
Salt,ITM00600,KG,raw,5,0
Sugar,ITM00601,KG,raw,0,0
Rice,ITM00602,KG,raw,0,0
Wheat,ITM00603,KG,raw,5,0
Oil,ITM00604,KG,raw,0,0
Oil,ITM00605,KG,raw,0,0
Rice,ITM00606,KG,raw,5,0
Oil,ITM00607,KG,raw,5,0
Sugar,ITM00608,KG,raw,0,0
Rice,ITM00609,KG,raw,5,0
Flour,ITM00610,KG,raw,5,0
Rice,ITM00611,KG,raw,5,0
Sugar,ITM00612,KG,raw,0,0
Wheat,ITM00613,KG,raw,5,0
Salt,ITM00614,KG,raw,0,0
Sugar,ITM00615,KG,raw,5,0
Wheat,ITM00616,KG,raw,5,0
Rice,ITM00617,KG,raw,5,0
Rice,ITM00618,KG,raw,0,0
Wheat,ITM00619,KG,raw,0,0
Sugar,ITM00620,KG,raw,0,0
Oil,ITM00621,KG,raw,5,0
Rice,ITM00622,KG,raw,0,0
Flour,ITM00623,KG,raw,0,0
Salt,ITM00624,KG,raw,5,0
Rice,ITM00625,KG,raw,0,0
Flour,ITM00626,KG,raw,0,0
Oil,ITM00627,KG,raw,0,0
Salt,ITM00628,KG,raw,5,0
Salt,ITM00629,KG,raw,5,0
Oil,ITM00630,KG,raw,0,0
Flour,ITM00631,KG,raw,5,0
Rice,ITM00632,KG,raw,5,0
Salt,ITM00633,KG,raw,0,0
Sugar,ITM00634,KG,raw,5,0
Sugar,ITM00635,KG,raw,5,0
Oil,ITM00636,KG,raw,0,0
Sugar,ITM00637,KG,raw,5,0
Rice,ITM00638,KG,raw,0,0
Wheat,ITM00639,KG,raw,0,0
Sugar,ITM00640,KG,raw,0,0
Salt,ITM00641,KG,raw,5,0
Wheat,ITM00642,KG,raw,5,0
Flour,ITM00643,KG,raw,5,0
Sugar,ITM00644,KG,raw,0,0
Sugar,ITM00645,KG,raw,0,0
Oil,ITM00646,KG,raw,0,0
Flour,ITM00647,KG,raw,0,0
Oil,ITM00648,KG,raw,5,0
Wheat,ITM00649,KG,raw,0,0
Rice,ITM00650,KG,raw,5,0
Flour,ITM00651,KG,raw,0,0
Rice,ITM00652,KG,raw,0,0
Flour,ITM00653,KG,raw,0,0
Wheat,ITM00654,KG,raw,5,0
Rice,ITM00655,KG,raw,0,0
Oil,ITM00656,KG,raw,0,0
Wheat,ITM00657,KG,raw,5,0
Salt,ITM00658,KG,raw,5,0
Wheat,ITM00659,KG,raw,0,0
Sugar,ITM00660,KG,raw,5,0
Sugar,ITM00661,KG,raw,5,0
Salt,ITM00662,KG,raw,5,0
Rice,ITM00663,KG,raw,0,0
Rice,ITM00664,KG,raw,0,0
Flour,ITM00665,KG,raw,5,0
Salt,ITM00666,KG,raw,5,0
Flour,ITM00667,KG,raw,0,0
Oil,ITM00668,KG,raw,0,0
Oil,ITM00669,KG,raw,0,0
Oil,ITM00670,KG,raw,0,0
Rice,ITM00671,KG,raw,5,0
Sugar,ITM00672,KG,raw,0,0
Wheat,ITM00673,KG,raw,0,0
Wheat,ITM00674,KG,raw,0,0
Flour,ITM00675,KG,raw,0,0
Oil,ITM00676,KG,raw,0,0
Oil,ITM00677,KG,raw,5,0
Rice,ITM00678,KG,raw,0,0
Rice,ITM00679,KG,raw,5,0
Rice,ITM00680,KG,raw,0,0
Oil,ITM00681,KG,raw,5,0
Sugar,ITM00682,KG,raw,0,0
Rice,ITM00683,KG,raw,5,0
Oil,ITM00684,KG,raw,0,0
Rice,ITM00685,KG,raw,5,0
